1,D
2,A
3,C
4,A
5,A
6,D
7,D
8,B
9,B
10,D
11,A
12,D
13,D
14,B
15,A
16,B
17,D
18,C
19,A
20,A
21,A
22,D
23,A
24,B
25,A
26,C
27,D
28,C
29,A
30,A
31,A
32,D
33,C
34,A
35,A
36,E
37,E
38,B
39,D
40,B
41,B
42,B
43,A
44,B
45,D
46,C
47,D
48,A
49,D
50,B
51,A
52,A
53,A
54,B
55,A
56,B
57,D
58,C
59,A
60,A
61,A
62,D
63,D
64,B
65,D
66,B
67,D
68,C
69,A
70,A
71,A
72,D
73,A
74,B
75,A
76,C
77,D
78,C
79,A
80,A
81,B
82,A
83,A
84,D
85,C
86,B
87,B
88,B
89,A
90,B
91,A
92,A
93,A
94,E
95,A
96,B
97,B
98,C
99,A
100,A
101,E
102,C
103,A
104,B
105,B
106,A
107,B
108,C
109,A
110,A
111,E
112,A
113,A
114,E
115,A
116,B
117,A
118,C
119,A
120,A
121,C
122,C
123,C
124,C
125,C
126,E
127,A
128,B
129,B
130,A
131,C
132,C
133,C
134,C
135,C
136,E
137,E
138,B
139,B
140,D
141,B
142,C
143,C
144,B
145,A
146,E
147,C
148,A
149,E
150,A
151,D
152,B
153,A
154,E
155,A
156,B
157,A
158,A
159,D
160,A
161,D
162,A
163,A
164,E
165,A
166,B
167,A
168,C
169,E
170,A
171,C
172,E
173,C
174,D
175,C
176,E
177,C
178,A
179,C
180,C
181,C
182,B
183,B
184,B
185,C
186,B
187,C
188,A
189,C
190,C
191,E
192,E
193,D
194,D
195,C
196,D
197,B
198,B
199,C
200,A
201,C
202,E
203,C
204,C
205,A
206,B
207,B
208,A
209,C
210,D
